1    Yarayellam FDFS ppga ippove ready agitinga
1	 Ennada viswasam mersal sarkar madhri time la likes and views create pannalayae
1	 Ennada viswasam mersal sarkar madhri time la likes and views create pannalayae
1	 Ennada viswasam mersal sarkar madhri time la likes and views create pannalayae
1	 Ennada viswasam mersal sarkar madhri time la likes and views create pannalayae
1	 Ennada viswasam mersal sarkar madhri time la likes and views create pannalayae
1    I like this movie very much.
1	 yuvan vera level ya .... valuable script. SK in action
4	 70 vayasulayum thanoda rasigargala sandhosapadutha ipdi ulaikuraru ivara poi kayapaduthuranungale echainga ulachu vaalanum
1	 all the best anna...Telugu makkal selvan fans
1	 1:17 verithanama iruku nu solravanga like podunga
1	 mokka ya tha iruku trailer antha level ku perusa onnum illa
3	 Vera level next movie Ida vida bayangaram ha irukunum
0	 Saamy2 hindi dubbed kb la rahe ho
4	 Verithanamana trailer aiyoo Diwali kaithi Diwali🤩🤩
4	 Shakti maaaaaan. sankarji vazhangum Sakthi man 2.0. . Ondru Hollywood tharathukku meala illa atharku nikaraanatha irukanum.
1	 wait and watch ennu neraya neraya neraya Erika Thala mass activity's
1	 Tamizha Na la mudiyatha thu ethuvume illa...#Sankar sir proof it...2.0v va support pannuvom  Na like pannunga
3	 Jai... Vijay Sethu pathi Jai.... Chiranjeevaa.... Syeraa... Narasimha Reddy Syeraa.... Vijay pandya
2	 Padu mokkai, ean thalayai kooni kondu nikkuthu thalai
1	 Kannane kanne 96 Milion views
1	 Thala epo vum   masss tha
2	 Oru shotla kooda karu vizhi asayala
1	 Over nyt la 5 million views ah
1	 1999 super hit movie vaali continuously 2019 blockbuster movie nerkonda paarvai
1	 Opening dialogue is semma Oru vela double actinga
1	 I  am simbu fans like dhanush acting
1	 Thala Vera level.. luv u so much
1	 Superb trailer....waiting for tharamana sambavam on pongal
1	 En bha intha padathula sivakumar ku role iruka..
4	 Oruthar Mela viswasam katradhukaga innoruthara yen assingapaduthuringa
1	 Pongal _ viswasam_ like petta comment
1	 Morning enthericha odane trailer pakravaga like poduga
1	 Inum na sagurathu kulla intha mathiri yethana kodumaiya paka poranoo therilayee
2	 Haiyooo.. hero roll ku indhe munji sariye waradhu.
1	 Rajani is back with a bangggg
1	 Mass vjs...he is more mass den ajith vj rajni
3	 Mela epdi vanthenu mela vanthavan kita thana keka mudiyum
1	 thalaivar na  mass summa athirueilla semma
1	 After Iru Mugan Most Awaited Vikram movie
1	 Nkp  means nalla kalapum pataiya super thalaaaasaaaaaaaaaaaaaaaaaa
